id,title_id,provider_id
1_tm42553,tm42553,1
1_tm937468,tm937468,1
1_tm831278,tm831278,1
1_tm154737,tm154737,1
1_tm516036,tm516036,1
1_tm1009504,tm1009504,1
1_tm128621,tm128621,1
1_tm997,tm997,1
1_tm99434,tm99434,1
1_tm1051718,tm1051718,1
1_tm115008,tm115008,1
1_tm858689,tm858689,1
1_tm930750,tm930750,1
1_tm63346,tm63346,1
1_tm110555,tm110555,1
1_tm244974,tm244974,1
1_tm471867,tm471867,1
1_tm127215,tm127215,1
1_tm82233,tm82233,1
1_tm107584,tm107584,1
1_tm101481,tm101481,1
1_tm119035,tm119035,1
1_tm189140,tm189140,1
1_tm132406,tm132406,1
1_ts251348,ts251348,1
1_tm1129755,tm1129755,1
1_tm50666,tm50666,1
1_tm159380,tm159380,1
1_tm456659,tm456659,1
1_tm1108353,tm1108353,1
1_ts258978,ts258978,1
1_tm861239,tm861239,1
1_tm124710,tm124710,1
1_tm930163,tm930163,1
1_tm158269,tm158269,1
1_tm992435,tm992435,1
1_ts12059,ts12059,1
1_tm847514,tm847514,1
1_tm14194,tm14194,1
1_ts95826,ts95826,1
1_tm110773,tm110773,1
1_tm65589,tm65589,1
1_tm348130,tm348130,1
1_tm483803,tm483803,1
1_ts148398,ts148398,1
1_ts46475,ts46475,1
1_tm203478,tm203478,1
1_tm821313,tm821313,1
1_tm180783,tm180783,1
1_ts237801,ts237801,1
1_tm1103576,tm1103576,1
1_tm466723,tm466723,1
1_tm7709,tm7709,1
1_tm27516,tm27516,1
1_ts67359,ts67359,1
1_tm3836,tm3836,1
1_tm819605,tm819605,1
1_tm232696,tm232696,1
1_tm817468,tm817468,1
1_tm448696,tm448696,1
1_tm15097,tm15097,1
1_tm39241,tm39241,1
1_tm16537,tm16537,1
1_tm21178,tm21178,1
1_tm946326,tm946326,1
1_ts289376,ts289376,1
1_tm208242,tm208242,1
1_tm456896,tm456896,1
1_tm1000406,tm1000406,1
1_tm1104370,tm1104370,1
1_tm153593,tm153593,1
1_tm96562,tm96562,1
1_tm226781,tm226781,1
1_tm160163,tm160163,1
1_ts83015,ts83015,1
1_tm361748,tm361748,1
1_ts300286,ts300286,1
1_tm987538,tm987538,1
1_tm158466,tm158466,1
1_tm5407,tm5407,1
1_tm38007,tm38007,1
1_tm467588,tm467588,1
1_tm361370,tm361370,1
1_tm881567,tm881567,1
1_tm1040908,tm1040908,1
1_tm223143,tm223143,1
