id,name
59401,joe besser
31460,moe howard
31461,larry fine
21174,buster keaton
28713,marion mack
28714,glen cavender
28715,jim farley
27348,frederick vroom
28716,charles henry smith
28718,joe keaton
28721,al st. john
28717,frank barnes
28719,mike donlin
28720,tom nawn
28722,jimmy bryant
28723,budd fine
28724,ray hanford
28725,charles phillips
28726,eddie foster
28727,frank hagney
28728,jack hanlon
28729,edward hearn
28730,hilliard karr
28731,louis lewyn
28733,elgin lessley
28732,clyde bruckman
29993,myrna loy
29992,fredric march
29994,dana andrews
21803,teresa wright
29995,virginia mayo
13682,cathy o'donnell
29996,hoagy carmichael
29997,harold russell
27564,gladys george
29998,roman bohnen
15258,ray collins
29999,minna gombell
30000,walter baldwin
30001,steve cochran
30002,dorothy adams
28777,don beddoe
567781,marlene aames
45075,charles halton
37831,ray teal
16783,howland chamberlain
296554,dean white
15259,erskine sanford
564517,michael hall
316368,victor cutler
128931,claire du brey
25663,pat flaherty
39453,jackie jackson
21359,william h. o'brien
22474,bert stevens
1479923,marion gray
13717,william wyler
25018,cary grant
28500,rosalind russell
12463,ralph bellamy
28501,gene lockhart
28506,helen mack
27185,porter hall
28510,ernest truex
13325,cliff edwards
28502,clarence kolb
20167,roscoe karns
28503,frank jenks
23834,regis toomey
28504,abner biberman
28505,frank orth
14710,john qualen
28507,alma kruger
6137,billy gilbert
28508,pat west
28509,edwin maxwell
13331,irving bacon
27216,wade boteler
27217,harry c. bradley
28511,wheaton chambers
27234,edmund cobb
27196,ann doran
28512,ralph dunn
28513,earl dwire
27262,jack gardner
28514,eddie hart
28515,marion martin
22485,frank mclure
27306,james millican
27310,gene morgan
27191,delmar watson
23839,howard hawks
14701,humphrey bogart
39498,gloria grahame
57463,frank lovejoy
57464,carl benton reid
57465,art smith
57466,jeff donnell
57467,martha stewart
29629,robert warwick
57468,morris ankrum
57469,william ching
57470,steven geray
57471,hadda brooks
153264,ruth gillette
541599,michael romanoff
137623,ruth warren
49085,harold miller
29571,james arness
132902,june vincent
14166,bess flowers
35387,nicholas ray
25654,claire trevor
25629,john wayne
11109,andy devine
32170,john carradine
13301,thomas mitchell
71547,louise platt
42491,george bancroft
45535,donald meek
71548,berton churchill
71549,tim holt
13423,tom tyler
71550,chief john big tree
13327,yakima canutt
22006,francis ford
27573,william hopper
71552,chrispin martin
71551,paul mcvey
41718,jack pennick
27340,harry tenbrook
71554,whitehorse
38996,hank worden
58276,dorothy appleby
22001,ted billings
71555,wiggie blowne
15265,danny borzage
71556,ed brady
71557,fritzi brunette
71558,nora cecil
28655,steve clemente
71559,bill cody
22003,jack curtis
71560,marga ann deighton
71561,patricia doyle
71562,tex driscoll
71563,johnny eckert
22477,franklyn farnum
57389,brenda fowler
57390,helen gibson
27575,robert homans
13391,si jenks
71564,cornelius keefe
71565,florence lake
71566,al lee
71567,duke r. lee
71568,theodore lorch
69971,jim mason
41712,louis mason
62993,merrill mccormick
71569,j.p. mcgowan
41713,walter mcgrail
71570,jack mohr
71571,kent odell
71572,artie ortego
71573,vester pegg
71574,chris phillips
71575,joe rickson
71576,buddy roosevelt
71577,mickey simpson
71578,chuck stubbs
71579,leonard trainor
71580,mary kathleen walker
71581,bryant washburn
573361,elvira rios
25637,john ford
25020,james stewart
26190,donna reed
25653,lionel barrymore
34171,henry travers
27179,beulah bondi
13381,frank faylen
13323,ward bond
27178,h.b. warner
99223,frank albertson
58067,todd karns
47762,samuel s. hinds
133886,mary treen
133887,virginia patton
108232,charles williams
34181,sarah edwards
14743,william edmunds
106286,lillian randolph
133888,argentina brunetti
41682,robert j. anderson
133889,ronnie ralph
133890,jean gale
132909,jeanine ann roose
132910,danny mummert
50379,georgie nokes
57481,sheldon leonard
132995,ray walker
27187,charles lane
31160,edward keane
132911,carol coombs
132912,karolyn grimes
27195,larry simms
60257,jimmy hawkins
132914,jean acker
69183,ernie adams
45692,monya andre
27206,stanley andrews
27209,sam ash
133891,jack bailey
100203,louise bates
1579025,beth belden
27214,brooks benedict
47779,joseph e. bernard
27220,al bridge
133892,buz buckley
98666,marian carr
6134,adriana caselotti
93473,lane chandler
132913,michael chapin
62985,tom chatterton
100212,jack cheatham
108841,harry cheshire
36168,edward clark
32290,tom coleman
1060,ellen corby
1059535,bryn davis
27244,lew davis
137512,harry denny
58335,helen dickson
27188,dick elliott
95865,tom fadden
137513,frank fenton
27258,eddie fetherston
137455,sam flint
133893,lee frederick
49075,dick gordon
79658,jack gordon
22487,herschel graham
63894,joseph granby
579476,carl eric hansen
41679,herbert heywood
133894,harry holman
22469,art howard
133895,bert howard
14756,arthur stuart hull
55109,john indrisano
27280,eddie kane
133896,carl kent
20176,milton kibbee
36165,effie laird
71393,mike lally
133897,harold landon
133898,meade 'lux' lewis
133899,jack lomas
58854,j. farrell macdonald
22472,wilbur mack
133900,charles meakin
1579092,priscilla montgomery
27201,bert moorhouse
651274,evelyn moriarty
41705,philip morris
79588,george noisom
133901,bob o'connor
27315,frank o'connor
1579136,lynn o'learyjameson
6144,moroni olsen
105983,garry owen
113387,netta packer
74817,franklin parker
13410,suzanne ridgeway
118672,mark roberts
45710,constantine romanoff
47812,cy schindell
57721,almira sessions
132915,cedric stevens
